index	qualified_name	sentence	predication	main verb	functionality category	"score for the predication(1 absolutely disagree, 2 disagree, 3 agree, 4 absolutely agree)"	"if you disagree with the predication, which category do you think it should belong to? (just write the main verb)"
24	org.apache.poi.hwpf.model.types.FibRgLw97AbstractType.getReserved2()	This value is undefined and MUST be ignored.	10	unknown	not a function	4	
25	org.apache.poi.hslf.usermodel.HSLFTextParagraph.getTextRuns()	Fetch the text runs that are contained within this block of text	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
26	org.apache.poi.hsmf.MAPIMessage.guess7BitEncoding()	Tries to identify the correct encoding for 7-bit (non-unicode)  strings in the file.	3	check	test/tell/determine/check/retrieve/ascertain/return/control/indicate/query/report/validate/get/invalidate/verify/find/identify/track/detect/decide	4	
27	org.apache.poi.xssf.streaming.SXSSFSheet.removeMergedRegion(int)	Removes a merged region of cells (hence letting them free)	59	remove	remove/exclude/reduce/delete/pop/uninstall/detach/decrement/revoke/dequeue/abandon/discard/peek	4	
28	org.apache.poi.hssf.record.ExtendedFormatRecord.setParentIndex(short)	for cell XF types this is the parent style (usually 0/normal).	10	unknown	not a function	4	
29	org.apache.poi.hssf.record.EOFRecord.getSid()	return the non static version of the id for this record.	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
30	"org.apache.poi.ss.usermodel.helpers.RowShifter.updateRowFormulas(Row	FormulaShifter)"	Update the formulas in specified row using the formula shifting policy specified by shifter	4	modify	update/modify/fill/edit/change/rename/populate/adjust/flush/trim/adapt/reconcile/resize	4	
31	org.apache.poi.xssf.usermodel.XSSFComment.getAddress()	Get the address of the cell that this comment is attached to	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
32	org.apache.poi.ss.usermodel.CreationHelper.createDataFormat()	Creates a new DataFormat instance	7	create	create/build/produce/construct/generate/establish/make/obtain/reconstitute/compose/instantiate/implement/get/retrieve/return	4	
33	org.apache.poi.hssf.record.ExtendedFormatRecord.getAlignmentOptions()	get the alignment options bitmask.	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
34	org.apache.poi.hssf.record.chart.FrameRecord.toString()	get a string representation of the record (for biffview/debugging)	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	2	create
35	org.apache.poi.hssf.record.MulRKRecord.getLastColumn()	ending column (last cell this holds in the row)	15	stop	stop/quit/terminate/interrupt/end/crash/intercept/abort/disconnect/shutdown/pause/finalize/freeze/block	4	
36	org.apache.poi.hwpf.model.types.PAPAbstractType.setFNoAllowOverlap(boolean)	"When 1	 absolutely positioned paragraph cannot overlap with another paragraph."	10	unknown	not a function	4	
37	org.apache.poi.hwpf.model.types.PAPAbstractType.setFNoLnn(boolean)	No line numbering.	10	unknown	not a function	4	
38	org.apache.poi.hpsf.examples.WriteAuthorAndTitle.main(java.lang.String[])	Runs the example program.	14	perform	perform/execute/run/call/invoke/enforce/fire/trigger/indicate/occur	4	
39	org.apache.poi.hssf.record.FormulaRecord.setValue(double)	set the calculated value of the formula	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
40	org.apache.poi.hssf.record.ExtendedFormatRecord.getAdtlFillPattern()	get the additional fill pattern	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
41	org.apache.poi.hslf.usermodel.HSLFTextShape.setTopInset(double)	Sets the top margin.	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
42	org.apache.poi.hwpf.model.types.SEPAbstractType.getClm()	Get the clm field for the SEP record.	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
43	org.apache.poi.hssf.record.chart.ValueRangeRecord.getMinimumAxisValue()	Get the minimum axis value field for the ValueRange record.	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
44	org.apache.poi.hwpf.model.types.TCAbstractType.getWCellSpacingLeft()	Left cell spacing.	10	unknown	not a function	4	
45	org.apache.poi.poifs.crypt.xor.XORDecryptor.setChunkSize(int)	Sets the chunk size of the data stream.	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
46	org.apache.poi.hssf.usermodel.HSSFBorderFormatting.setVerticalBorderColor(Color)	Not available for HSSF.	10	unknown	not a function	4	
47	org.apache.poi.ss.formula.EvaluationWorkbook.convertFromExternSheetIndex(int)	"HSSF Only - convert an external sheet index to an internal sheet index	  for an external-style reference to one of this workbook's own sheets"	61	convert	convert/change/transfer/flatten/parse/map/turn/transform/reconvert/move/unmarshal/adapt/marshal/package/translate/encode/decode/synthesize/wrap/compress/force/cast/pack/compact/unescape/encrypt/return/escape	4	
48	org.apache.poi.hssf.usermodel.HSSFPrintSetup.setScale(short)	Set the scale.	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
49	org.apache.poi.hwpf.model.CharIndexTranslator.lookIndexBackward(int)	Return last index <= bytePos that is in table	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
50	org.apache.poi.poifs.filesystem.NPOIFSDocument.getViewableIterator()	"Get an Iterator of objects	 some of which may implement POIFSViewable"	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	2	create
51	org.apache.poi.hssf.record.CountryRecord.toString()	get a string representation of the record (for biffview/debugging)	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	2	create
52	org.apache.poi.hslf.model.HeadersFooters.isFooterVisible()	whether the footer text is displayed.	10	unknown	not a function	4	
53	org.apache.poi.ss.util.cellwalk.CellWalk.setTraverseEmptyCells(boolean)	Sets the traverseEmptyCells property.	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
54	org.apache.poi.xwpf.model.XWPFHeaderFooterPolicy.getOddPageHeader()	Returns the odd page header.	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
55	org.apache.poi.hssf.record.RKRecord.getRecordName()	Gets the debug info BIFF record type name (used by CellRecord.toString().	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
56	org.apache.poi.hwpf.model.types.CHPAbstractType.setWCharScale(int)	Set the wCharScale field for the CHP record.	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
57	org.apache.poi.hssf.usermodel.HSSFCell.getCellTypeEnum()	"get the cells type (numeric	 formula or string)"	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
58	org.apache.poi.hssf.record.chart.SeriesChartGroupIndexRecord.setChartGroupIndex(short)	Set the chart group index field for the SeriesChartGroupIndex record.	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
59	org.apache.poi.hssf.record.chart.LinkedDataRecord.setOptions(short)	Set the options field for the LinkedData record.	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
60	org.apache.poi.hdgf.chunks.ChunkHeader.getId()	Returns the ID/IX of the chunk	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
61	org.apache.poi.openxml4j.opc.internal.ContentTypeManager.isContentTypeRegister(java.lang.String)	Check if the specified content type is already register.	3	check	test/tell/determine/check/retrieve/ascertain/return/control/indicate/query/report/validate/get/invalidate/verify/find/identify/track/detect/decide	4	
62	org.apache.poi.hwpf.model.types.TAPAbstractType.setViewFlags_unused2(short)	Sets the viewFlags_unused2 field value.	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
63	org.apache.poi.hslf.usermodel.HSLFSlideShowImpl.getEmbeddedObjects()	Gets embedded object data from the slide show.	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
64	org.apache.poi.hssf.usermodel.HSSFComment.getClientAnchor()	Return defines position of this anchor in the sheet.	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
65	org.apache.poi.hssf.record.chart.SeriesRecord.getValuesDataType()	Get the values data type field for the Series record.	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
66	org.apache.poi.hslf.record.Document.getEnvironment()	"Returns the Environment of this Notes	 which lots of settings for the document in it"	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
67	org.apache.poi.ss.util.CellRangeAddress.valueOf(java.lang.String)	Creates a CellRangeAddress from a cell range reference string.	7	create	create/build/produce/construct/generate/establish/make/obtain/reconstitute/compose/instantiate/implement/get/retrieve/return	4	
68	org.apache.poi.hwpf.model.types.FFDataBaseAbstractType.setIRes(byte)	Sets the iRes field value.	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
69	org.apache.poi.util.ShortField.get()	get the ShortField's current value	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
70	org.apache.poi.ss.usermodel.FontCharset.valueOf(java.lang.String)	Deprecated.__eturns the enum constant of this type with the specified name.	39	notify	report/notify/tell/indicate/prompt	2	return
71	org.apache.poi.hwpf.model.types.CHPAbstractType.getFDblBdr()	Used internally by Word.	10	unknown	not a function	4	
72	org.apache.poi.hssf.record.chart.LineFormatRecord.getLineColor()	Get the line color field for the LineFormat record.	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
73	org.apache.poi.xslf.usermodel.XSLFTextRun.setUnderlined(boolean)	Sets the underlined state	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
74	org.apache.poi.hssf.usermodel.HSSFDataBarFormatting.getMaxThreshold()	"""The threshold that defines everything from here up is maximum"""""""""""	10	unknown	not a function	4	
75	org.apache.poi.hssf.record.NameRecord.getDescriptionText()	gets the description text	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
76	org.apache.poi.hwpf.model.types.PAPAbstractType.getPtap()	Get the ptap field for the PAP record.	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
77	org.apache.poi.xssf.streaming.SXSSFSheet.setDefaultRowHeightInPoints(float)	Set the default row height for the sheet (if the rows do not define their own height) in points	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
78	org.apache.poi.ss.usermodel.IconMultiStateFormatting.setIconSet(IconMultiStateFormatting.IconSet)	Changes the Icon Set used	4	modify	update/modify/fill/edit/change/rename/populate/adjust/flush/trim/adapt/reconcile/resize	4	
79	org.apache.poi.poifs.property.DirectoryProperty.preWrite()	Perform whatever activities need to be performed prior to writing	14	perform	perform/execute/run/call/invoke/enforce/fire/trigger/indicate/occur	4	
80	org.apache.poi.hwpf.model.types.CHPAbstractType.getChse()	Get the chse field for the CHP record.	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
81	org.apache.poi.sl.usermodel.StrokeStyle.LineDash.values()	"Returns an array containing the constants of this enum type	 inthe order they are declared."	61	convert	convert/change/transfer/flatten/parse/map/turn/transform/reconvert/move/unmarshal/adapt/marshal/package/translate/encode/decode/synthesize/wrap/compress/force/cast/pack/compact/unescape/encrypt/return/escape	2	create
82	org.apache.poi.hssf.record.chart.SheetPropertiesRecord.getFlags()	Get the flags field for the SheetProperties record.	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
83	org.apache.poi.hssf.usermodel.HSSFIconMultiStateFormatting.setIconOnly(boolean)	"Control if only the Icon is shown	 or Icon + Value"	10	unknown	not a function	2	check
84	org.apache.poi.xdgf.usermodel.XDGFFactory.getDescriptor(java.lang.String)	returns the descriptor for the given relationship type	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
85	org.apache.poi.hssf.record.chart.TextRecord.setShowBubbleSizes(boolean)	Sets the show bubble sizes field value.	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
86	org.apache.poi.ss.formula.ptg.NameXPxg.toFormulaString()	return a string representation of this token alone	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	2	create
87	org.apache.poi.hslf.blip.DIB.setSignature(int)	Sets the DIB signature - either 0x7A80 or 0x7A90	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
88	org.apache.poi.hslf.record.PPDrawing.getEscherRecords()	Get access to the underlying Escher Records	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
89	org.apache.poi.hssf.record.ExtendedFormatRecord.getFillBackground()	get the background palette color index	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
90	org.apache.poi.hwpf.model.types.TAPAbstractType.setWCellPaddingOuterRight(short)	Default outer right cell margin/padding.	10	unknown	not a function	4	
91	org.apache.poi.hslf.model.HeadersFooters.getHeaderText()	Headers's text	10	unknown	not a function	4	
92	org.apache.poi.xdgf.usermodel.XmlVisioDocument.onDocumentRead()	Fired when a package part is read	80	call	call/invoke/tell/indicate/occur/perform/prompt/notify	4	
93	org.apache.poi.xslf.usermodel.XSLFPictureData.cacheProperties()	Determine and cache image properties	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
94	org.apache.poi.openxml4j.opc.PackageProperties.setIdentifierProperty(java.lang.String)	Set an unambiguous reference to the resource within a given context.	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
95	org.apache.poi.hssf.record.DeltaRecord.toString()	get a string representation of the record (for biffview/debugging)	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	2	create
96	org.apache.poi.util.ShortField.readFromStream(java.io.InputStream)	set the value from an InputStream	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
97	org.apache.poi.sl.usermodel.TextShape.setTextPlaceholder(TextShape.TextPlaceholder)	Sets the text placeholder	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
98	org.apache.poi.sl.draw.binding.CTColor.setHslClr(CTHslColor)	Sets the value of the hslClr property.	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
99	org.apache.poi.poifs.crypt.dsig.KeyInfoKeySelector.getSigner()	Gives back the X509 certificate used during the last signature verification operation.	52	provide	provide/give/supply	4	
100	org.apache.poi.ss.formula.DataValidationEvaluator.clearAllCachedValues()	"Call this whenever validation structures change	 so future results stay in sync with the Workbook state."	14	perform	perform/execute/run/call/invoke/enforce/fire/trigger/indicate/occur	4	
101	org.apache.poi.hssf.record.chart.AxisOptionsRecord.setMinorUnitValue(short)	Set the minor unit value field for the AxisOptions record.	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
102	org.apache.poi.hwpf.model.types.CHPAbstractType.setFFldVanish(boolean)	Sets the fFldVanish field value.	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
103	org.apache.poi.xssf.model.StylesTable.ensureThemesTable()	"If there isn't currently a ThemesTable for the  current Workbook	 then creates one and sets it up."	10	unknown	not a function	4	
104	org.apache.poi.hwpf.model.types.FibBaseAbstractType.setFMac(boolean)	Sets the fMac field value.	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
105	org.apache.poi.ss.usermodel.HeaderFooter.getCenter()	Get the center of the header or footer.	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
106	org.apache.poi.hssf.record.WindowTwoRecord.setFreezePanesNoSplit(boolean)	freeze unsplit panes or not	15	stop	stop/quit/terminate/interrupt/end/crash/intercept/abort/disconnect/shutdown/pause/finalize/freeze/block	4	
107	org.apache.poi.hssf.record.RowRecord.getLastCol()	"get the logical col number for the last cell this row (0 based index)	 plus one"	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
108	org.apache.poi.hwpf.model.types.FRDAbstractType.getNAuto()	"If > 0	 the note is an automatically numbered note	 otherwise it has a custom mark."	10	unknown	not a function	4	
109	org.apache.poi.sl.draw.binding.CTPath2D.getH()	Gets the value of the h property.	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
110	org.apache.poi.hslf.usermodel.HSLFTextRun.setFontSize(java.lang.Double)	"Sets the font size directly on this text run	 if null is given	 the font size defaults to the values given from the slide layout"	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
111	org.apache.poi.sl.draw.binding.CTVector3D.getDx()	Gets the value of the dx property.	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
112	org.apache.poi.openxml4j.util.ZipEntrySource.getEntries()	Returns an Enumeration of all the Entries	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
113	org.apache.poi.ss.usermodel.RichTextString.getString()	Returns the plain string representation.	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
114	org.apache.poi.xssf.streaming.SXSSFCell.getAddress()	Gets the address of this cell	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
115	org.apache.poi.sl.draw.binding.CTGeomGuide.getFmla()	Gets the value of the fmla property.	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
116	org.apache.poi.ss.usermodel.IndexedColors.valueOf(java.lang.String)	Returns the enum constant of this type with the specified name.	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
117	org.apache.poi.ss.usermodel.HeaderFooter.setRight(java.lang.String)	Sets the right string or footer.	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
118	org.apache.poi.xssf.usermodel.XSSFChart.getManualLayout()	Returns manual layout for the chart element.	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
119	org.apache.poi.hslf.record.SlideAtom.getMasterID()	Get the ID of the master slide used.	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
120	org.apache.poi.hssf.record.chart.ChartStartBlockRecord.toString()	get a string representation of the record (for biffview/debugging)	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	2	create
121	org.apache.poi.xslf.usermodel.XSLFTextShape.getLeftInset()	Returns the distance (in points) between the left edge of the text frame  and the left edge of the inscribed rectangle of the shape that contains  the text.	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
122	org.apache.poi.ss.format.CellFormatType.values()	"Returns an array containing the constants of this enum type	 inthe order they are declared."	61	convert	convert/change/transfer/flatten/parse/map/turn/transform/reconvert/move/unmarshal/adapt/marshal/package/translate/encode/decode/synthesize/wrap/compress/force/cast/pack/compact/unescape/encrypt/return/escape	2	create
123	org.apache.poi.xssf.usermodel.XSSFFontFormatting.getUnderlineType()	get the type of underlining for the font	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
124	org.apache.poi.hssf.usermodel.HSSFName.setFunction(boolean)	Indicates that the defined name refers to a user-defined function.	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
125	"org.apache.poi.hwmf.record.HwmfMisc.WmfSaveDc.init(LittleEndianInputStream	long	int)"	Init record from stream	10	unknown	not a function	4	
126	org.apache.poi.poifs.filesystem.OPOIFSFileSystem.hasPOIFSHeader(java.io.InputStream)	"Deprecated.__n 3.17-beta2	 use FileMagic.valueOf(InputStream) == FileMagic.OLE2 instead"	10	unknown	not a function	4	
127	org.apache.poi.hwpf.model.types.DOPAbstractType.setFTruncDxaExpand(boolean)	Sets the fTruncDxaExpand field value.	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
128	org.apache.poi.hssf.usermodel.HSSFPatriarch.getBoundAggregate()	Returns the aggregate escher record we're bound to	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
129	org.apache.poi.hslf.record.SoundCollection.getRecordType()	Returns the type (held as a little endian in bytes 3 and 4) that this class handles.	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
130	org.apache.poi.hssf.record.chart.AxisRecord.setReserved3(int)	Set the reserved3 field for the Axis record.	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
